Job Title,Company Name,Company Logo,Location,Source URL,Posted Date
Junior AEC Software Developer,ECG Engineering Consultants Group S.A.,,"Nasr City, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-aec-software-developer-at-ecg-engineering-consultants-group-s-a-4125188337?position=19&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=GqGQzhMgYH9wJbll891AvA%3D%3D,2025-01-16
Backend Developer (.Net Developer),e.construct Fz LLC,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/backend-developer-net-developer-at-e-construct-fz-llc-4206635732?position=20&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=Kkr967DEBCwaLf%2BHLaTC%2BQ%3D%3D,2025-04-10
Web Developer,Canonical,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/web-developer-at-canonical-4216390937?position=21&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=nxvPZGhinFKA2qWsoSV%2BQA%3D%3D,2025-04-24
Web Developer,Canonical,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/web-developer-at-canonical-4216391951?position=22&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=uRF9h4j5Oz51Mwinx%2BnV%2BQ%3D%3D,2025-04-24
Front-End Developer (ReactJS),SWATX,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/front-end-developer-reactjs-at-swatx-4225522243?position=23&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=Qa2M4omcdteq4A04beSEoA%3D%3D,2025-04-12
Front End Developer,SSC HR Solutions,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/front-end-developer-at-ssc-hr-solutions-4226352078?position=24&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=yTGxzDHgJEbUu3%2B4z0rg%2BQ%3D%3D,2025-05-08
Junior Java Developer (Microservices),Advansys,,"6th of October, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-java-developer-microservices-at-advansys-4224336657?position=25&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=5QNTlt506vNqtbYxnSf%2FhQ%3D%3D,2025-04-11
Backend Software Engineer,Soum,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/backend-software-engineer-at-soum-4224184350?position=26&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=gFGLnCUW5Ni1E3wuVq%2Bhug%3D%3D,2025-04-11
Back-end Developer (f/m/x),Yassir,,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/back-end-developer-f-m-x-at-yassir-3683193856?position=27&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=s2lb%2BJVB%2F2RyE%2FkaQnSuVA%3D%3D,2023-08-06
Software Engineer,Siemens Digital Industries Software,,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-engineer-at-siemens-digital-industries-software-4144130346?position=28&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=lCIBCj9fnzBcOp8tW5g2Uw%3D%3D,2025-05-05
Software Development Engineer,Siemens EDA (Siemens Digital Industries Software),,"Qesm 2nd New Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/software-development-engineer-at-siemens-eda-siemens-digital-industries-software-4135265405?position=29&pageNum=0&refId=OWiKx%2F%2BHpoI1DUuzNnkkhw%3D%3D&trackingId=1qBGybOzqvIRzHWtllCH5g%3D%3D,2025-05-15
